url,beds,city,date,size,type,baths,price,neighborhood,size_numeric,price_per_sqft,bed_bath_ratio,is_apartment,is_villa,is_land
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vennala-kochi-1350-sq-ft-r1-spid-J51800632,3.0,Kochi,1mo ago,1350 sqft,3 BHK Flat,3,5000000.0,sheetal apartments,1350.0,3703.703700960219,0.9999996666667778,1,0,0
https://www.99acres.com/residential-land-plot-for-sale-in-chalikavattom-kochi-104-sq-yard-spid-G78545131,0.0,Kochi,3mo ago,940 sqft,Residential land / Plot,0,1500000.0,Chalikavattom,940.0,1595.744679153463,0.0,0,0,1
https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-chalikavattom-kochi-1375-sq-ft-spid-B78323137,3.0,Kochi,3mo ago,1375 sqft,3 Bedroom House,3,7000000.0,Chalikavattom,1375.0,5090.909087206611,0.9999996666667778,0,1,0
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-chalikavattom-kochi-1000-sq-ft-r5-spid-P60024418,2.0,Kochi,2w ago,1000 sqft,2 BHK Flat,2,8000000.0,good earth hamlet,1000.0,7999.999992,0.99999950000025,1,0,0
https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-chakkaraparambu-kochi-1000-sq-ft-r2-spid-R63177728,3.0,Kochi,2mo ago,1000 sqft,3 Bedroom House,3,7500000.0,Chakkaraparambu,1000.0,7499.9999925,0.9999996666667778,0,1,0
https://www.99acres.com/residential-land-plot-for-sale-in-chakkaraparambu-kochi-3975-sq-yard-r1-spid-Q55098104,0.0,Kochi,2mo ago,35790 sqft,Residential land / Plot,0,35000000.0,Chakkaraparambu,35790.0,977.9267951668643,0.0,0,0,1
https://www.99acres.com/9-bhk-bedroom-independent-house-villa-for-sale-in-sector-39-noida-3226-sq-ft-r8-spid-U66608396,7.5,Noida,1mo ago,3229 sqft,Independent House/Villa,5,45018000.0,Sector 39,3229.0,13941.77763581859,1.49999970000006,0,1,0
https://www.99acres.com/residential-land-plot-for-sale-in-rwa-sector-122-sector-122-noida-538-sq-yard-spid-C79242955,0.0,Noida,Yesterday,4843 sqft,Residential Land,0,45018000.0,Sector 122,4843.0,9295.47800757888,0.0,0,0,1
https://www.99acres.com/residential-land-plot-for-sale-in-od-kedeswar-vihar-phulnakhara-bhubaneswar-133-sq-yard-to-222-sq-yard-npspid-S78806221,0.0,Bhubaneswar,2025-02-19,1200-2000 sqft,Residential land / Plot,0,1559000.0,Phulnakhara,1200.0,1299.1666655840277,0.0,0,0,1
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shuvam-meadows-patia-bhubaneswar-2179-sq-ft-spid-V79818033,3.0,Bhubaneswar,2025-02-19,2179 sqft,3 BHK Flat,3,18000000.0,Patia,2179.0,8260.67002833379,0.9999996666667778,1,0,0
https://www.99acres.com/mahima-greenex-hanspal-bhubaneswar-npxid-r413530,2.0,Bhubaneswar,2025-02-19,758.34 - 945.73 sqft,"2, 3 BHK Apartment",0,7900000.0,Hanspal,758.0,10422.163574640945,2000000.0,1,0,0
https://www.99acres.com/one-world-janla-bhubaneswar-npxid-r424559,2.0,Bhubaneswar,2025-02-19,1185 - 1610 sqft,"2, 3 BHK Apartment",0,8938000.0,Janla,1185.0,7542.616027390197,2000000.0,1,0,0
https://www.99acres.com/urban-sereno-gothapatna-bhubaneswar-npxid-r420678,2.0,Bhubaneswar,2025-02-19,1691 - 2543 sqft,"2, 3 BHK Apartment",0,8286000.0,Gothapatna,1691.0,4900.0591337078295,2000000.0,1,0,0
https://www.99acres.com/falcon-tatva-khandagiri-bhubaneswar-npxid-r411558,3.0,Bhubaneswar,2025-02-19,1527 - 2078 sqft,"3, 4 BHK Apartment",0,20600000.0,Khandagiri,1527.0,13490.504247877861,3000000.0,1,0,0
https://www.99acres.com/motwani-anantara-jharapada-bhubaneswar-npxid-r421539,3.0,Bhubaneswar,2025-02-19,2160 - 3190 sqft,"3, 4 BHK Apartment",0,14700000.0,Jharapada,2160.0,6805.555552404836,3000000.0,1,0,0
https://www.99acres.com/z-padmanabha-pahala-bhubaneswar-npxid-r413474,2.0,Bhubaneswar,2025-02-19,923 - 3097 sqft,"2, 3, 4, 5 BHK Apartment",0,11800000.0,Pahala,923.0,12784.398686040739,2000000.0,1,0,0
https://www.99acres.com/utkal-reserve-patrapada-bhubaneswar-npxid-r390078,2.0,Bhubaneswar,2025-02-19,1877 - 3038 sqft,"2, 3, 4, 5 BHK Apartment",0,14000000.0,Patrapada,1877.0,7458.710704603776,2000000.0,1,0,0
https://www.99acres.com/utkal-isquare-patia-bhubaneswar-npxid-r424292,2.0,Bhubaneswar,2025-02-19,704.71 - 1009.23 sqft,"2, 3 BHK Apartment",0,7200000.0,Patia,704.0,10227.27271274535,2000000.0,1,0,0
https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-s-saamarth-twinland-koba-gandhinagar-8478-sq-ft-to-10573-sq-ft-npspid-G79358405,5.0,Gandhinagar,2025-02-19,8478-10573 sqft,5 BHK House,0,0.0,"Koba, Raysan",8478.0,0.0,5000000.0,0,1,0
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sargasan-gandhinagar-1530-sq-ft-spid-Z79621649,2.0,Gandhinagar,2025-02-19,1530 sqft,2 BHK Flat,2,6500000.0,Sargasan,1530.0,4248.366010295185,0.99999950000025,1,0,0
https://www.99acres.com/polaris-calice-randesan-gandhinagar-npxid-r411905,3.0,Gandhinagar,2025-02-19,2511-2655 sqft,3 BHK Apartment,0,11200000.0,Randesan,2511.0,4460.374351071137,3000000.0,1,0,0
https://www.99acres.com/sobha-elysia-gift-city-gandhinagar-npxid-r426127,3.0,Gandhinagar,2025-02-19,1225.7-2611 sqft,"3, 4 BHK Apartment",0,25400000.0,Gift City,1225.0,20734.69386062474,3000000.0,1,0,0
https://www.99acres.com/altezza-by-the-palm-sargasan-gandhinagar-npxid-r394631,3.0,Gandhinagar,2025-02-19,2916 sqft,3 BHK Apartment,0,11900000.0,Sargasan,2916.0,4080.932783236992,3000000.0,1,0,0
https://www.99acres.com/the-one-randesan-gandhinagar-npxid-r425978,4.0,Gandhinagar,2025-02-19,4158-5598 sqft,"4, 5 BHK Apartment",0,20000000.0,Randesan,4158.0,4810.0048088480025,4000000.0,1,0,0
https://www.99acres.com/polaris-casarica-sargasan-gandhinagar-npxid-r393562,3.0,Gandhinagar,2025-02-19,2475 sqft,3 BHK Apartment,0,10700000.0,Sargasan,2475.0,4323.232321485563,3000000.0,1,0,0
